2026-05-13 22:57:55.698 +05:30 [WRN] Entity 'Role' has a global query filter defined and is the required end of a relationship with the entity 'UserRole'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-05-13 23:14:33.065 +05:30 [WRN] Failed to determine the https port for redirect.
2026-05-13 23:14:33.076 +05:30 [INF] HTTP OPTIONS /api/auth/login responded 204 in 15.6094 ms
2026-05-13 23:14:34.174 +05:30 [INF] HTTP POST /api/auth/login responded 200 in 1071.4455 ms
2026-05-13 23:15:10.116 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 0.4401 ms
2026-05-13 23:15:10.116 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 0.4401 ms
2026-05-13 23:15:10.117 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 0.0535 ms
2026-05-13 23:15:10.117 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 0.0717 ms
2026-05-13 23:15:10.117 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 0.0265 ms
2026-05-13 23:15:10.118 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 0.0661 ms
2026-05-13 23:15:10.356 +05:30 [INF] HTTP GET /api/categories responded 200 in 227.9413 ms
2026-05-13 23:15:10.365 +05:30 [INF] HTTP GET /api/categories responded 200 in 7.3586 ms
2026-05-13 23:15:10.369 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 240.5139 ms
2026-05-13 23:15:10.373 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 2.9880 ms
2026-05-13 23:15:10.411 +05:30 [INF] HTTP GET /api/medicines responded 200 in 282.2538 ms
2026-05-13 23:15:10.422 +05:30 [INF] HTTP GET /api/medicines responded 200 in 9.9919 ms
2026-05-13 23:15:20.887 +05:30 [INF] HTTP OPTIONS /api/backup/history responded 204 in 0.1810 ms
2026-05-13 23:15:20.887 +05:30 [INF] HTTP OPTIONS /api/backup/history responded 204 in 0.1810 ms
2026-05-13 23:15:20.921 +05:30 [INF] HTTP GET /api/backup/history responded 200 in 26.9733 ms
2026-05-13 23:15:20.926 +05:30 [INF] HTTP GET /api/backup/history responded 200 in 3.1895 ms
2026-05-13 23:15:35.964 +05:30 [INF] HTTP OPTIONS /api/backup/create responded 204 in 0.3892 ms
2026-05-13 23:15:35.980 +05:30 [INF] HTTP POST /api/backup/create responded 200 in 12.7296 ms
2026-05-13 23:15:35.986 +05:30 [INF] HTTP OPTIONS /api/backup/history responded 204 in 0.0987 ms
2026-05-13 23:15:35.992 +05:30 [INF] HTTP GET /api/backup/history responded 200 in 1.4996 ms
2026-05-13 23:15:56.993 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 0.0391 ms
2026-05-13 23:15:56.993 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 0.0485 ms
2026-05-13 23:15:56.993 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 0.0987 ms
2026-05-13 23:15:56.994 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 0.0515 ms
2026-05-13 23:15:56.994 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 0.0378 ms
2026-05-13 23:15:56.994 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 0.0221 ms
2026-05-13 23:15:57.015 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 17.8699 ms
2026-05-13 23:15:57.016 +05:30 [INF] HTTP GET /api/categories responded 200 in 19.3117 ms
2026-05-13 23:15:57.021 +05:30 [INF] HTTP GET /api/categories responded 200 in 3.4840 ms
2026-05-13 23:15:57.021 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 3.4814 ms
2026-05-13 23:15:57.026 +05:30 [INF] HTTP GET /api/medicines responded 200 in 27.1889 ms
2026-05-13 23:15:57.035 +05:30 [INF] HTTP GET /api/medicines responded 200 in 7.5075 ms
2026-05-13 23:39:54.248 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 16.4912 ms
2026-05-13 23:39:54.246 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 13.5659 ms
2026-05-13 23:39:54.246 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 13.1439 ms
2026-05-13 23:39:54.247 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 14.5538 ms
2026-05-13 23:39:54.246 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 13.0206 ms
2026-05-13 23:39:54.246 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 13.0308 ms
2026-05-13 23:39:54.839 +05:30 [INF] HTTP GET /api/categories responded 200 in 542.6088 ms
2026-05-13 23:39:54.839 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 539.1728 ms
2026-05-13 23:39:54.847 +05:30 [INF] HTTP GET /api/categories responded 200 in 6.7762 ms
2026-05-13 23:39:54.847 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 6.8183 ms
2026-05-13 23:39:54.875 +05:30 [INF] HTTP GET /api/medicines responded 200 in 578.4735 ms
2026-05-13 23:39:54.883 +05:30 [INF] HTTP GET /api/medicines responded 200 in 6.7486 ms
2026-05-13 23:44:28.237 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 0.0843 ms
2026-05-13 23:44:28.242 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 0.1039 ms
2026-05-13 23:44:28.242 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 0.0710 ms
2026-05-13 23:44:28.242 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 0.1385 ms
2026-05-13 23:44:28.243 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 0.0319 ms
2026-05-13 23:44:28.245 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 0.0467 ms
2026-05-13 23:44:28.263 +05:30 [INF] HTTP GET /api/categories responded 200 in 15.2103 ms
2026-05-13 23:44:28.263 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 16.9342 ms
2026-05-13 23:44:28.268 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 3.3014 ms
2026-05-13 23:44:28.269 +05:30 [INF] HTTP GET /api/categories responded 200 in 4.3381 ms
2026-05-13 23:44:28.274 +05:30 [INF] HTTP GET /api/medicines responded 200 in 30.8693 ms
2026-05-13 23:44:28.281 +05:30 [INF] HTTP GET /api/medicines responded 200 in 5.0289 ms
2026-05-13 23:46:21.467 +05:30 [INF] HTTP OPTIONS /api/backup/history responded 204 in 0.0950 ms
2026-05-13 23:46:21.469 +05:30 [INF] HTTP OPTIONS /api/backup/history responded 204 in 0.0460 ms
2026-05-13 23:46:21.485 +05:30 [INF] HTTP GET /api/backup/history responded 200 in 13.8919 ms
2026-05-13 23:46:21.488 +05:30 [INF] HTTP GET /api/backup/history responded 200 in 1.9372 ms
2026-05-13 23:51:20.809 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 0.0864 ms
2026-05-13 23:51:20.811 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 0.0391 ms
2026-05-13 23:51:20.815 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 0.0396 ms
2026-05-13 23:51:20.812 +05:30 [INF] HTTP OPTIONS /api/suppliers responded 204 in 0.0370 ms
2026-05-13 23:51:20.812 +05:30 [INF] HTTP OPTIONS /api/medicines responded 204 in 0.0386 ms
2026-05-13 23:51:20.815 +05:30 [INF] HTTP OPTIONS /api/categories responded 204 in 0.0492 ms
2026-05-13 23:51:20.905 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 86.0303 ms
2026-05-13 23:51:20.906 +05:30 [INF] HTTP GET /api/categories responded 200 in 88.1713 ms
2026-05-13 23:51:20.909 +05:30 [INF] HTTP GET /api/suppliers responded 200 in 2.8494 ms
2026-05-13 23:51:20.909 +05:30 [INF] HTTP GET /api/categories responded 200 in 1.9287 ms
2026-05-13 23:51:20.914 +05:30 [INF] HTTP GET /api/medicines responded 200 in 99.3719 ms
2026-05-13 23:51:20.921 +05:30 [INF] HTTP GET /api/medicines responded 200 in 5.4163 ms
